2026-06-11 23:28:30,450 | INFO    | __main__ | Comandos carregados: !barco, !barril, !cura, !drop, !formiga
2026-06-11 23:28:30,451 | INFO    | src.key_executor | Backend de teclado: pydirectinput
2026-06-11 23:28:30,633 | INFO    | websockets.server | server listening on [::1]:8765
2026-06-11 23:28:30,633 | INFO    | websockets.server | server listening on 127.0.0.1:8765
2026-06-11 23:28:30,634 | INFO    | src.panel_server | Painel WebSocket ouvindo em ws://localhost:8765
2026-06-11 23:28:30,634 | INFO    | src.command_queue | Worker da fila iniciado
2026-06-11 23:28:30,634 | INFO    | src.tiktok_listener | MODO SIMULACAO ativo — gerando eventos falsos
2026-06-11 23:28:30,789 | INFO    | websockets.server | connection open
2026-06-11 23:28:30,790 | INFO    | src.panel_server | Overlay conectado (1 ativos)
2026-06-11 23:28:32,179 | INFO    | src.tiktok_listener | Simulacao rodando (tick 0)
2026-06-11 23:28:34,498 | INFO    | websockets.server | connection open
2026-06-11 23:28:34,499 | INFO    | src.panel_server | Overlay conectado (2 ativos)
2026-06-11 23:28:35,670 | INFO    | src.command_queue | Enfileirado: !cura por @joao_zoeira (fila=1)
2026-06-11 23:28:35,672 | WARNING | src.command_queue | Jogo fora de foco; reagendando !cura em 2.0s
2026-06-11 23:28:37,681 | WARNING | src.command_queue | Jogo fora de foco; reagendando !cura em 2.0s
2026-06-11 23:28:39,691 | WARNING | src.command_queue | Jogo fora de foco; reagendando !cura em 2.0s
2026-06-11 23:28:41,701 | WARNING | src.command_queue | Jogo fora de foco; reagendando !cura em 2.0s
2026-06-11 23:28:43,200 | INFO    | src.command_queue | Enfileirado: !drop por @lua_fps (fila=1)
2026-06-11 23:28:43,711 | WARNING | src.command_queue | Jogo fora de foco; reagendando !drop em 2.0s
2026-06-11 23:28:45,720 | WARNING | src.command_queue | Jogo fora de foco; reagendando !cura em 2.0s
2026-06-11 23:28:46,402 | INFO    | src.command_queue | Enfileirado: !barril por @joao_zoeira (fila=2)
2026-06-11 23:28:47,887 | INFO    | src.command_queue | Executado: !drop por @lua_fps
2026-06-11 23:28:49,545 | INFO    | src.command_queue | Executado: !barril por @joao_zoeira
2026-06-11 23:28:49,626 | INFO    | src.cooldown | Descartado por cooldown global: !drop (user=@ana.gamer)
2026-06-11 23:28:51,204 | INFO    | src.command_queue | Executado: !cura por @joao_zoeira
2026-06-11 23:28:53,422 | INFO    | src.command_queue | Enfileirado: !drop por @pedrocaos (fila=1)
2026-06-11 23:28:53,423 | WARNING | src.command_queue | Jogo fora de foco; reagendando !drop em 2.0s
2026-06-11 23:28:55,432 | WARNING | src.command_queue | Jogo fora de foco; reagendando !drop em 2.0s
