2026-06-13 18:12:08,744 | INFO    | __main__ | Comandos: !barco, !barril, !cura, !drop
2026-06-13 18:12:08,745 | INFO    | __main__ | Presentes executaveis: capybara, gamepad
2026-06-13 18:12:08,745 | INFO    | src.key_executor | Backend de teclado: pydirectinput
2026-06-13 18:12:09,022 | INFO    | websockets.server | server listening on [::1]:8765
2026-06-13 18:12:09,022 | INFO    | websockets.server | server listening on 127.0.0.1:8765
2026-06-13 18:12:09,022 | INFO    | src.panel_server | Painel WebSocket ouvindo em ws://localhost:8765
2026-06-13 18:12:09,022 | INFO    | src.command_queue | Worker da fila iniciado
2026-06-13 18:12:09,022 | INFO    | src.tiktok_listener | MODO SIMULACAO ativo — gerando eventos falsos
2026-06-13 18:12:09,085 | INFO    | websockets.server | connection open
2026-06-13 18:12:09,086 | INFO    | src.panel_server | Overlay conectado (1 ativos)
2026-06-13 18:12:09,301 | INFO    | websockets.server | connection open
2026-06-13 18:12:09,301 | INFO    | src.panel_server | Overlay conectado (2 ativos)
2026-06-13 18:12:10,553 | INFO    | src.tiktok_listener | Simulacao rodando (tick 0)
2026-06-13 18:12:13,598 | INFO    | websockets.server | connection open
2026-06-13 18:12:13,598 | INFO    | src.panel_server | Overlay conectado (3 ativos)
2026-06-13 18:12:19,844 | INFO    | src.command_queue | Enfileirado: !barril por @joao_zoeira (fila=1)
2026-06-13 18:12:19,848 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-13 18:12:21,857 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-13 18:12:23,870 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-13 18:12:24,055 | INFO    | src.cooldown | Descartado por cooldown global: !barril (user=@lua_fps)
2026-06-13 18:12:25,883 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-13 18:12:27,895 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-13 18:12:29,909 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-13 18:12:31,922 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-13 18:12:33,935 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-13 18:12:34,198 | INFO    | src.command_queue | Enfileirado: !drop por @joao_zoeira (fila=1)
2026-06-13 18:12:35,083 | INFO    | websockets.server | connection open
2026-06-13 18:12:35,083 | INFO    | src.panel_server | Overlay conectado (4 ativos)
2026-06-13 18:12:35,949 | WARNING | src.command_queue | Jogo fora de foco; reagendando !drop em 2.0s
2026-06-13 18:12:36,590 | INFO    | src.panel_server | Overlay desconectado (3 ativos)
2026-06-13 18:12:37,963 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-13 18:12:39,977 | WARNING | src.command_queue | Jogo fora de foco; reagendando !drop em 2.0s
2026-06-13 18:12:41,992 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-13 18:12:44,006 | WARNING | src.command_queue | Jogo fora de foco; reagendando !drop em 2.0s
2026-06-13 18:12:46,018 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-13 18:12:48,031 | WARNING | src.command_queue | Jogo fora de foco; reagendando !drop em 2.0s
2026-06-13 18:12:50,045 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-13 18:12:52,057 | WARNING | src.command_queue | Jogo fora de foco; reagendando !drop em 2.0s
2026-06-13 18:12:53,682 | INFO    | src.command_queue | Enfileirado: !barril por @pedrocaos (fila=2)
2026-06-13 18:12:54,070 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-13 18:12:55,108 | INFO    | src.panel_server | Overlay desconectado (2 ativos)
2026-06-13 18:12:55,115 | INFO    | src.panel_server | Overlay desconectado (1 ativos)
2026-06-13 18:12:56,084 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-13 18:12:56,460 | INFO    | websockets.server | connection open
2026-06-13 18:12:56,466 | INFO    | src.panel_server | Overlay conectado (2 ativos)
2026-06-13 18:12:56,751 | INFO    | websockets.server | connection open
2026-06-13 18:12:56,751 | INFO    | src.panel_server | Overlay conectado (3 ativos)
2026-06-13 18:12:57,922 | INFO    | src.panel_server | Overlay desconectado (2 ativos)
2026-06-13 18:12:57,923 | INFO    | src.panel_server | Overlay desconectado (1 ativos)
2026-06-13 18:12:58,099 | WARNING | src.command_queue | Jogo fora de foco; reagendando !drop em 2.0s
2026-06-13 18:12:58,773 | INFO    | websockets.server | connection open
2026-06-13 18:12:58,774 | INFO    | src.panel_server | Overlay conectado (2 ativos)
2026-06-13 18:12:58,787 | INFO    | websockets.server | connection open
2026-06-13 18:12:58,787 | INFO    | src.panel_server | Overlay conectado (3 ativos)
2026-06-13 18:12:58,920 | INFO    | src.cooldown | Descartado por cooldown global: !barril (user=@lua_fps)
2026-06-13 18:13:00,113 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-13 18:13:01,969 | INFO    | src.tiktok_listener | Simulacao rodando (tick 20)
2026-06-13 18:13:02,124 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-13 18:13:04,135 | WARNING | src.command_queue | Jogo fora de foco; reagendando !drop em 2.0s
2026-06-13 18:13:06,148 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-13 18:13:08,159 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-13 18:13:10,170 | WARNING | src.command_queue | Jogo fora de foco; reagendando !drop em 2.0s
2026-06-13 18:13:12,183 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-13 18:13:14,193 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-13 18:13:15,353 | INFO    | src.cooldown | Descartado por cooldown de usuario: !barril (user=@pedrocaos)
2026-06-13 18:13:16,205 | WARNING | src.command_queue | Jogo fora de foco; reagendando !drop em 2.0s
2026-06-13 18:13:18,217 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-13 18:13:18,788 | INFO    | src.command_queue | Enfileirado: !barco por @pedrocaos (fila=3)
2026-06-13 18:13:20,226 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-13 18:13:22,238 | WARNING | src.command_queue | Jogo fora de foco; reagendando !drop em 2.0s
2026-06-13 18:13:24,249 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barco em 2.0s
2026-06-13 18:13:26,261 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-13 18:13:27,855 | INFO    | src.command_queue | Enfileirado: !barril por @pedrocaos (fila=4)
2026-06-13 18:13:28,273 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-13 18:13:30,284 | WARNING | src.command_queue | Jogo fora de foco; reagendando !drop em 2.0s
2026-06-13 18:13:32,296 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barco em 2.0s
2026-06-13 18:13:34,308 | INFO    | src.command_queue | Enfileirado: !drop por @pedrocaos (fila=5)
2026-06-13 18:13:34,309 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
