2026-06-14 01:36:43,572 | INFO    | __main__ | Comandos: !barril, !cura, !drop
2026-06-14 01:36:43,573 | INFO    | __main__ | Presentes executaveis: capybara, rose, tiny diny
2026-06-14 01:36:43,573 | INFO    | __main__ | Acao de meta de likes: configurada (Python)
2026-06-14 01:36:43,573 | INFO    | __main__ | Acao de seguir: configurada (Python)
2026-06-14 01:36:43,573 | INFO    | src.key_executor | Backend de teclado: pydirectinput
2026-06-14 01:36:43,574 | INFO    | src.file_bridge | Ponte por arquivo: C:\Program Files (x86)\Steam\steamapps\common\GarrysMod\garrysmod\data\live_caos\fila.txt
2026-06-14 01:36:43,649 | INFO    | websockets.server | server listening on [::1]:8765
2026-06-14 01:36:43,649 | INFO    | websockets.server | server listening on 127.0.0.1:8765
2026-06-14 01:36:43,650 | INFO    | src.panel_server | Painel WebSocket ouvindo em ws://localhost:8765
2026-06-14 01:36:43,650 | INFO    | src.command_queue | Worker da fila iniciado
2026-06-14 01:36:43,650 | INFO    | src.tiktok_listener | MODO SIMULACAO ativo — gerando eventos falsos
2026-06-14 01:36:43,659 | INFO    | websockets.server | connection open
2026-06-14 01:36:43,660 | INFO    | src.panel_server | Overlay conectado (1 ativos)
2026-06-14 01:36:45,315 | INFO    | src.command_queue | Enfileirado: !drop por @ana.gamer (fila=1)
2026-06-14 01:36:45,319 | INFO    | src.tiktok_listener | Simulacao rodando (tick 0)
2026-06-14 01:36:45,471 | INFO    | src.command_queue | Executado: !drop por @ana.gamer
2026-06-14 01:36:45,704 | INFO    | websockets.server | connection open
2026-06-14 01:36:45,704 | INFO    | src.panel_server | Overlay conectado (2 ativos)
2026-06-14 01:36:58,644 | INFO    | src.tiktok_listener | Novo seguidor @ana.gamer -> fogo
2026-06-14 01:36:58,644 | INFO    | src.command_queue | Enfileirado: __follow__ por @ana.gamer (fila=1)
2026-06-14 01:36:58,647 | INFO    | src.command_queue | Executado: __follow__ por @ana.gamer
2026-06-14 01:37:02,209 | INFO    | src.command_queue | Enfileirado: !barril por @lua_fps (fila=1)
2026-06-14 01:37:02,362 | INFO    | src.command_queue | Executado: !barril por @lua_fps
2026-06-14 01:37:04,007 | INFO    | src.command_queue | Enfileirado: !drop por @joao_zoeira (fila=1)
2026-06-14 01:37:04,160 | INFO    | src.command_queue | Executado: !drop por @joao_zoeira
2026-06-14 01:37:12,672 | INFO    | src.tiktok_listener | Novo seguidor @pedrocaos -> fogo
2026-06-14 01:37:12,672 | INFO    | src.command_queue | Enfileirado: __follow__ por @pedrocaos (fila=1)
2026-06-14 01:37:12,678 | INFO    | src.command_queue | Executado: __follow__ por @pedrocaos
2026-06-14 01:37:26,682 | INFO    | src.command_queue | Enfileirado: !barril por @ana.gamer (fila=1)
2026-06-14 01:37:26,683 | WARNING | src.command_queue | Jogo fora de foco; descartando !barril
2026-06-14 01:37:30,093 | INFO    | src.command_queue | Enfileirado: !drop por @lua_fps (fila=1)
2026-06-14 01:37:30,094 | WARNING | src.command_queue | Jogo fora de foco; descartando !drop
2026-06-14 01:37:34,775 | INFO    | src.command_queue | Enfileirado: !barril por @pedrocaos (fila=1)
2026-06-14 01:37:34,775 | WARNING | src.command_queue | Jogo fora de foco; descartando !barril
2026-06-14 01:37:36,706 | INFO    | src.command_queue | Enfileirado: !cura por @joao_zoeira (fila=1)
2026-06-14 01:37:36,707 | WARNING | src.command_queue | Jogo fora de foco; descartando !cura
2026-06-14 01:37:40,460 | INFO    | src.tiktok_listener | Meta de likes batida por @joao_zoeira -> zumbi
2026-06-14 01:37:40,460 | INFO    | src.command_queue | Enfileirado: __likes__ por @joao_zoeira (fila=1)
2026-06-14 01:37:40,460 | INFO    | src.tiktok_listener | Simulacao rodando (tick 20)
2026-06-14 01:37:40,479 | INFO    | src.command_queue | Executado: __likes__ por @joao_zoeira
2026-06-14 01:37:50,508 | INFO    | src.tiktok_listener | Novo seguidor @pedrocaos -> fogo
2026-06-14 01:37:50,508 | INFO    | src.command_queue | Enfileirado: __follow__ por @pedrocaos (fila=1)
2026-06-14 01:37:50,517 | INFO    | src.command_queue | Executado: __follow__ por @pedrocaos
2026-06-14 01:37:54,481 | INFO    | src.cooldown | Descartado por cooldown global: !cura (user=@lua_fps)
2026-06-14 01:37:58,814 | INFO    | src.command_queue | Enfileirado: !cura por @ana.gamer (fila=1)
2026-06-14 01:37:58,966 | INFO    | src.command_queue | Executado: !cura por @ana.gamer
2026-06-14 01:38:02,798 | INFO    | src.command_queue | Enfileirado: !barril por @ana.gamer (fila=1)
2026-06-14 01:38:02,950 | INFO    | src.command_queue | Executado: !barril por @ana.gamer
2026-06-14 01:38:05,743 | INFO    | src.tiktok_listener | Meta de likes batida por @ana.gamer -> zumbi
2026-06-14 01:38:05,743 | INFO    | src.command_queue | Enfileirado: __likes__ por @ana.gamer (fila=1)
2026-06-14 01:38:05,747 | INFO    | src.command_queue | Executado: __likes__ por @ana.gamer
2026-06-14 01:38:14,438 | INFO    | src.command_queue | Enfileirado: !barril por @lua_fps (fila=1)
2026-06-14 01:38:14,590 | INFO    | src.command_queue | Executado: !barril por @lua_fps
2026-06-14 01:38:27,229 | INFO    | src.command_queue | Enfileirado: !drop por @ana.gamer (fila=1)
2026-06-14 01:38:27,381 | INFO    | src.command_queue | Executado: !drop por @ana.gamer
2026-06-14 01:38:29,259 | INFO    | src.command_queue | Enfileirado: !barril por @joao_zoeira (fila=1)
2026-06-14 01:38:29,412 | INFO    | src.command_queue | Executado: !barril por @joao_zoeira
2026-06-14 01:38:35,707 | INFO    | src.tiktok_listener | Meta de likes batida por @lua_fps -> zumbi
2026-06-14 01:38:35,708 | INFO    | src.command_queue | Enfileirado: __likes__ por @lua_fps (fila=1)
2026-06-14 01:38:35,713 | INFO    | src.command_queue | Executado: __likes__ por @lua_fps
2026-06-14 01:38:39,722 | INFO    | src.tiktok_listener | Simulacao rodando (tick 40)
2026-06-14 01:38:43,426 | INFO    | src.tiktok_listener | Novo seguidor @ana.gamer -> fogo
2026-06-14 01:38:43,427 | INFO    | src.command_queue | Enfileirado: __follow__ por @ana.gamer (fila=1)
2026-06-14 01:38:43,436 | INFO    | src.command_queue | Executado: __follow__ por @ana.gamer
2026-06-14 01:38:49,641 | INFO    | src.tiktok_listener | Novo seguidor @lua_fps -> fogo
2026-06-14 01:38:49,642 | INFO    | src.command_queue | Enfileirado: __follow__ por @lua_fps (fila=1)
2026-06-14 01:38:49,645 | INFO    | src.command_queue | Executado: __follow__ por @lua_fps
2026-06-14 01:38:55,469 | INFO    | src.tiktok_listener | Novo seguidor @pedrocaos -> fogo
2026-06-14 01:38:55,470 | INFO    | src.command_queue | Enfileirado: __follow__ por @pedrocaos (fila=1)
2026-06-14 01:38:55,488 | INFO    | src.command_queue | Executado: __follow__ por @pedrocaos
2026-06-14 01:39:03,962 | INFO    | src.panel_server | Overlay desconectado (1 ativos)
2026-06-14 01:39:03,990 | INFO    | src.panel_server | Overlay desconectado (0 ativos)
2026-06-14 01:39:04,588 | INFO    | websockets.server | connection open
2026-06-14 01:39:04,589 | INFO    | src.panel_server | Overlay conectado (1 ativos)
2026-06-14 01:39:04,732 | INFO    | websockets.server | connection open
2026-06-14 01:39:04,732 | INFO    | src.panel_server | Overlay conectado (2 ativos)
2026-06-14 01:39:04,840 | INFO    | src.tiktok_listener | Meta de likes batida por @joao_zoeira -> zumbi
2026-06-14 01:39:04,840 | INFO    | src.command_queue | Enfileirado: __likes__ por @joao_zoeira (fila=1)
2026-06-14 01:39:04,844 | INFO    | src.command_queue | Executado: __likes__ por @joao_zoeira
2026-06-14 01:39:09,800 | INFO    | src.command_queue | Enfileirado: !barril por @pedrocaos (fila=1)
2026-06-14 01:39:09,801 | WARNING | src.command_queue | Jogo fora de foco; descartando !barril
2026-06-14 01:39:15,100 | INFO    | src.command_queue | Enfileirado: !cura por @joao_zoeira (fila=1)
2026-06-14 01:39:15,101 | WARNING | src.command_queue | Jogo fora de foco; descartando !cura
2026-06-14 01:39:18,652 | INFO    | src.command_queue | Enfileirado: !barril por @lua_fps (fila=1)
2026-06-14 01:39:18,653 | WARNING | src.command_queue | Jogo fora de foco; descartando !barril
2026-06-14 01:39:28,312 | INFO    | src.command_queue | Enfileirado: !drop por @lua_fps (fila=1)
2026-06-14 01:39:28,313 | WARNING | src.command_queue | Jogo fora de foco; descartando !drop
2026-06-14 01:39:31,788 | INFO    | src.tiktok_listener | Novo seguidor @pedrocaos -> fogo
2026-06-14 01:39:31,788 | INFO    | src.command_queue | Enfileirado: __follow__ por @pedrocaos (fila=1)
2026-06-14 01:39:31,796 | INFO    | src.command_queue | Executado: __follow__ por @pedrocaos
2026-06-14 01:39:34,090 | INFO    | src.command_queue | Enfileirado: !barril por @joao_zoeira (fila=1)
2026-06-14 01:39:34,091 | WARNING | src.command_queue | Jogo fora de foco; descartando !barril
2026-06-14 01:39:41,025 | INFO    | src.cooldown | Descartado por cooldown de usuario: !drop (user=@lua_fps)
2026-06-14 01:39:41,026 | INFO    | src.tiktok_listener | Simulacao rodando (tick 60)
2026-06-14 01:39:46,898 | INFO    | src.command_queue | Enfileirado: !barril por @lua_fps (fila=1)
2026-06-14 01:39:46,899 | WARNING | src.command_queue | Jogo fora de foco; descartando !barril
2026-06-14 01:39:51,949 | INFO    | src.tiktok_listener | Novo seguidor @ana.gamer -> fogo
2026-06-14 01:39:51,950 | INFO    | src.command_queue | Enfileirado: __follow__ por @ana.gamer (fila=1)
2026-06-14 01:39:51,957 | INFO    | src.command_queue | Executado: __follow__ por @ana.gamer
2026-06-14 01:40:14,506 | INFO    | src.command_queue | Enfileirado: !barril por @pedrocaos (fila=1)
2026-06-14 01:40:14,658 | INFO    | src.command_queue | Executado: !barril por @pedrocaos
2026-06-14 01:40:20,551 | INFO    | src.tiktok_listener | Meta de likes batida por @lua_fps -> zumbi
2026-06-14 01:40:20,551 | INFO    | src.command_queue | Enfileirado: __likes__ por @lua_fps (fila=1)
2026-06-14 01:40:20,562 | INFO    | src.command_queue | Executado: __likes__ por @lua_fps
2026-06-14 01:40:30,192 | INFO    | src.tiktok_listener | Meta de likes batida por @pedrocaos -> zumbi
2026-06-14 01:40:30,192 | INFO    | src.command_queue | Enfileirado: __likes__ por @pedrocaos (fila=1)
2026-06-14 01:40:30,206 | INFO    | src.command_queue | Executado: __likes__ por @pedrocaos
2026-06-14 01:40:37,756 | INFO    | src.tiktok_listener | Simulacao rodando (tick 80)
2026-06-14 01:40:39,367 | INFO    | src.tiktok_listener | Novo seguidor @ana.gamer -> fogo
2026-06-14 01:40:39,368 | INFO    | src.command_queue | Enfileirado: __follow__ por @ana.gamer (fila=1)
2026-06-14 01:40:39,373 | INFO    | src.command_queue | Executado: __follow__ por @ana.gamer
2026-06-14 01:40:42,762 | INFO    | src.command_queue | Enfileirado: !barril por @lua_fps (fila=1)
2026-06-14 01:40:42,914 | INFO    | src.command_queue | Executado: !barril por @lua_fps
2026-06-14 01:40:44,684 | INFO    | src.tiktok_listener | Novo seguidor @pedrocaos -> fogo
2026-06-14 01:40:44,684 | INFO    | src.command_queue | Enfileirado: __follow__ por @pedrocaos (fila=1)
2026-06-14 01:40:44,686 | INFO    | src.command_queue | Executado: __follow__ por @pedrocaos
2026-06-14 01:40:46,916 | INFO    | src.tiktok_listener | Meta de likes batida por @joao_zoeira -> zumbi
2026-06-14 01:40:46,916 | INFO    | src.command_queue | Enfileirado: __likes__ por @joao_zoeira (fila=1)
2026-06-14 01:40:46,918 | INFO    | src.command_queue | Executado: __likes__ por @joao_zoeira
2026-06-14 01:41:05,227 | INFO    | src.cooldown | Descartado por cooldown de usuario: !barril (user=@lua_fps)
2026-06-14 01:41:11,768 | INFO    | src.tiktok_listener | Novo seguidor @lua_fps -> fogo
2026-06-14 01:41:11,768 | INFO    | src.command_queue | Enfileirado: __follow__ por @lua_fps (fila=1)
2026-06-14 01:41:11,776 | INFO    | src.command_queue | Executado: __follow__ por @lua_fps
2026-06-14 01:41:13,793 | INFO    | src.tiktok_listener | Novo seguidor @ana.gamer -> fogo
2026-06-14 01:41:13,793 | INFO    | src.command_queue | Enfileirado: __follow__ por @ana.gamer (fila=1)
2026-06-14 01:41:13,797 | INFO    | src.command_queue | Executado: __follow__ por @ana.gamer
2026-06-14 01:41:22,025 | INFO    | src.command_queue | Enfileirado: !barril por @joao_zoeira (fila=1)
2026-06-14 01:41:22,026 | WARNING | src.command_queue | Jogo fora de foco; descartando !barril
2026-06-14 01:41:24,453 | INFO    | src.command_queue | Enfileirado: !drop por @ana.gamer (fila=1)
2026-06-14 01:41:24,453 | WARNING | src.command_queue | Jogo fora de foco; descartando !drop
2026-06-14 01:41:33,057 | INFO    | src.command_queue | Enfileirado: !barril por @ana.gamer (fila=1)
