2026-06-15 20:31:53,814 | INFO    | __main__ | Comandos: !barril, !cura, !drop, !formiga
2026-06-15 20:31:53,814 | INFO    | __main__ | Presentes executaveis: gamepad, gg, mishka bear, rose, tiktok, tiny diny
2026-06-15 20:31:53,814 | INFO    | __main__ | Acao de meta de likes: configurada (Python)
2026-06-15 20:31:53,814 | INFO    | __main__ | Acao de seguir: configurada (Python)
2026-06-15 20:31:53,814 | INFO    | src.key_executor | Backend de teclado: pydirectinput
2026-06-15 20:31:53,815 | INFO    | src.file_bridge | Ponte por arquivo: C:\Program Files (x86)\Steam\steamapps\common\GarrysMod\garrysmod\data\live_caos\fila.txt
2026-06-15 20:31:54,038 | INFO    | websockets.server | server listening on 127.0.0.1:8765
2026-06-15 20:31:54,039 | INFO    | websockets.server | server listening on [::1]:8765
2026-06-15 20:31:54,039 | INFO    | src.panel_server | Painel WebSocket ouvindo em ws://localhost:8765
2026-06-15 20:31:54,039 | INFO    | src.command_queue | Worker da fila iniciado
2026-06-15 20:31:54,039 | INFO    | src.tiktok_listener | MODO SIMULACAO ativo — gerando eventos falsos
2026-06-15 20:31:54,040 | INFO    | src.tiktok_listener | Simulacao vai sortear presentes: gamepad, gg, rose, mishka bear, tiny diny, tiktok
2026-06-15 20:31:54,415 | INFO    | websockets.server | connection open
2026-06-15 20:31:54,415 | INFO    | src.panel_server | Overlay conectado (1 ativos)
2026-06-15 20:31:56,548 | INFO    | src.command_queue | Enfileirado: !barril por @lua_fps (fila=1)
2026-06-15 20:31:56,553 | WARNING | src.command_queue | Jogo fora de foco; descartando !barril
2026-06-15 20:31:56,554 | INFO    | src.tiktok_listener | Simulacao rodando (tick 0)
2026-06-15 20:31:59,410 | INFO    | src.command_queue | Enfileirado: !formiga por @ana.gamer (fila=1)
2026-06-15 20:31:59,411 | WARNING | src.command_queue | Jogo fora de foco; descartando !formiga
2026-06-15 20:32:02,023 | INFO    | src.cooldown | Descartado por cooldown global: !barril (user=@ana.gamer)
2026-06-15 20:32:04,468 | INFO    | src.cooldown | Descartado por cooldown global: !barril (user=@joao_zoeira)
2026-06-15 20:32:06,864 | INFO    | src.tiktok_listener | Presente executavel: tiktok de @joao_zoeira
2026-06-15 20:32:06,865 | INFO    | src.command_queue | Enfileirado: tiktok por @joao_zoeira (fila=1)
2026-06-15 20:32:06,874 | INFO    | src.command_queue | Executado: tiktok por @joao_zoeira
2026-06-15 20:32:12,588 | INFO    | src.tiktok_listener | Novo seguidor @lua_fps -> fogo
2026-06-15 20:32:12,588 | INFO    | src.command_queue | Enfileirado: __follow__ por @lua_fps (fila=1)
2026-06-15 20:32:12,592 | INFO    | src.command_queue | Executado: __follow__ por @lua_fps
2026-06-15 20:32:15,526 | INFO    | src.tiktok_listener | Novo seguidor @ana.gamer -> fogo
2026-06-15 20:32:15,527 | INFO    | src.command_queue | Enfileirado: __follow__ por @ana.gamer (fila=1)
2026-06-15 20:32:15,531 | INFO    | src.command_queue | Executado: __follow__ por @ana.gamer
2026-06-15 20:32:18,498 | INFO    | src.cooldown | Descartado por cooldown de usuario: !formiga (user=@ana.gamer)
2026-06-15 20:32:24,461 | INFO    | src.command_queue | Enfileirado: !barril por @pedrocaos (fila=1)
2026-06-15 20:32:24,614 | INFO    | src.command_queue | Executado: !barril por @pedrocaos
2026-06-15 20:32:29,930 | INFO    | src.cooldown | Descartado por cooldown global: !barril (user=@pedrocaos)
2026-06-15 20:32:32,178 | INFO    | src.cooldown | Descartado por cooldown global: !barril (user=@ana.gamer)
2026-06-15 20:32:34,038 | INFO    | src.command_queue | Enfileirado: !formiga por @lua_fps (fila=1)
2026-06-15 20:32:34,191 | INFO    | src.command_queue | Executado: !formiga por @lua_fps
2026-06-15 20:32:37,555 | INFO    | src.tiktok_listener | Novo seguidor @lua_fps -> fogo
2026-06-15 20:32:37,555 | INFO    | src.command_queue | Enfileirado: __follow__ por @lua_fps (fila=1)
2026-06-15 20:32:37,577 | INFO    | src.command_queue | Executado: __follow__ por @lua_fps
2026-06-15 20:32:41,197 | INFO    | src.tiktok_listener | Novo seguidor @ana.gamer -> fogo
2026-06-15 20:32:41,198 | INFO    | src.command_queue | Enfileirado: __follow__ por @ana.gamer (fila=1)
2026-06-15 20:32:41,211 | INFO    | src.command_queue | Executado: __follow__ por @ana.gamer
2026-06-15 20:32:44,545 | INFO    | src.tiktok_listener | Novo seguidor @pedrocaos -> fogo
2026-06-15 20:32:44,546 | INFO    | src.command_queue | Enfileirado: __follow__ por @pedrocaos (fila=1)
2026-06-15 20:32:44,550 | INFO    | src.command_queue | Executado: __follow__ por @pedrocaos
2026-06-15 20:32:49,907 | INFO    | src.tiktok_listener | Novo seguidor @joao_zoeira -> fogo
2026-06-15 20:32:49,907 | INFO    | src.command_queue | Enfileirado: __follow__ por @joao_zoeira (fila=1)
2026-06-15 20:32:49,910 | INFO    | src.command_queue | Executado: __follow__ por @joao_zoeira
2026-06-15 20:32:51,859 | INFO    | src.tiktok_listener | Simulacao rodando (tick 20)
2026-06-15 20:32:58,390 | INFO    | src.command_queue | Enfileirado: !formiga por @joao_zoeira (fila=1)
2026-06-15 20:32:58,391 | WARNING | src.command_queue | Jogo fora de foco; descartando !formiga
2026-06-15 20:33:00,585 | INFO    | src.command_queue | Enfileirado: !barril por @lua_fps (fila=1)
2026-06-15 20:33:00,586 | WARNING | src.command_queue | Jogo fora de foco; descartando !barril
2026-06-15 20:33:07,780 | INFO    | src.tiktok_listener | Presente executavel: tiny diny de @lua_fps
2026-06-15 20:33:07,780 | INFO    | src.command_queue | Enfileirado: tiny diny por @lua_fps (fila=1)
2026-06-15 20:33:07,784 | INFO    | src.command_queue | Executado: tiny diny por @lua_fps
2026-06-15 20:33:10,273 | INFO    | src.command_queue | Enfileirado: !cura por @joao_zoeira (fila=1)
2026-06-15 20:33:10,275 | WARNING | src.command_queue | Jogo fora de foco; descartando !cura
2026-06-15 20:33:14,003 | INFO    | src.cooldown | Descartado por cooldown global: !cura (user=@lua_fps)
2026-06-15 20:33:22,603 | INFO    | src.tiktok_listener | Presente executavel: tiny diny de @lua_fps
2026-06-15 20:33:22,603 | INFO    | src.command_queue | Enfileirado: tiny diny por @lua_fps (fila=1)
2026-06-15 20:33:22,607 | INFO    | src.command_queue | Executado: tiny diny por @lua_fps
2026-06-15 20:33:24,646 | INFO    | src.cooldown | Descartado por cooldown global: !cura (user=@ana.gamer)
2026-06-15 20:33:26,410 | INFO    | src.command_queue | Enfileirado: !barril por @lua_fps (fila=1)
2026-06-15 20:33:26,411 | WARNING | src.command_queue | Jogo fora de foco; descartando !barril
2026-06-15 20:33:31,763 | INFO    | src.tiktok_listener | Meta de likes batida por @ana.gamer -> zumbi
2026-06-15 20:33:31,763 | INFO    | src.command_queue | Enfileirado: __likes__ por @ana.gamer (fila=1)
2026-06-15 20:33:31,768 | INFO    | src.command_queue | Executado: __likes__ por @ana.gamer
2026-06-15 20:33:33,930 | INFO    | src.command_queue | Enfileirado: !formiga por @lua_fps (fila=1)
2026-06-15 20:33:33,931 | WARNING | src.command_queue | Jogo fora de foco; descartando !formiga
2026-06-15 20:33:37,676 | INFO    | src.tiktok_listener | Presente executavel: tiny diny de @lua_fps
2026-06-15 20:33:37,677 | INFO    | src.command_queue | Enfileirado: tiny diny por @lua_fps (fila=1)
2026-06-15 20:33:37,679 | INFO    | src.command_queue | Executado: tiny diny por @lua_fps
2026-06-15 20:33:47,857 | INFO    | src.tiktok_listener | Presente executavel: gg de @lua_fps
2026-06-15 20:33:47,857 | INFO    | src.command_queue | Enfileirado: gg por @lua_fps (fila=1)
2026-06-15 20:33:47,858 | INFO    | src.tiktok_listener | Simulacao rodando (tick 40)
2026-06-15 20:33:47,861 | INFO    | src.command_queue | Executado: gg por @lua_fps
2026-06-15 20:33:53,089 | INFO    | src.tiktok_listener | Meta de likes batida por @lua_fps -> zumbi
2026-06-15 20:33:53,089 | INFO    | src.command_queue | Enfileirado: __likes__ por @lua_fps (fila=1)
2026-06-15 20:33:53,093 | INFO    | src.command_queue | Executado: __likes__ por @lua_fps
2026-06-15 20:33:57,003 | INFO    | src.command_queue | Enfileirado: !cura por @lua_fps (fila=1)
2026-06-15 20:33:57,156 | INFO    | src.command_queue | Executado: !cura por @lua_fps
2026-06-15 20:34:01,714 | INFO    | src.tiktok_listener | Novo seguidor @lua_fps -> fogo
2026-06-15 20:34:01,715 | INFO    | src.command_queue | Enfileirado: __follow__ por @lua_fps (fila=1)
2026-06-15 20:34:01,718 | INFO    | src.command_queue | Executado: __follow__ por @lua_fps
2026-06-15 20:34:04,876 | INFO    | src.tiktok_listener | Presente executavel: tiny diny de @pedrocaos
2026-06-15 20:34:04,877 | INFO    | src.command_queue | Enfileirado: tiny diny por @pedrocaos (fila=1)
2026-06-15 20:34:04,881 | INFO    | src.command_queue | Executado: tiny diny por @pedrocaos
2026-06-15 20:34:09,511 | INFO    | src.command_queue | Enfileirado: !drop por @ana.gamer (fila=1)
2026-06-15 20:34:09,663 | INFO    | src.command_queue | Executado: !drop por @ana.gamer
2026-06-15 20:34:13,277 | INFO    | src.tiktok_listener | Novo seguidor @pedrocaos -> fogo
2026-06-15 20:34:13,278 | INFO    | src.command_queue | Enfileirado: __follow__ por @pedrocaos (fila=1)
2026-06-15 20:34:13,282 | INFO    | src.command_queue | Executado: __follow__ por @pedrocaos
2026-06-15 20:34:14,889 | INFO    | src.tiktok_listener | Presente executavel: gg de @lua_fps
2026-06-15 20:34:14,889 | INFO    | src.command_queue | Enfileirado: gg por @lua_fps (fila=1)
2026-06-15 20:34:14,893 | INFO    | src.command_queue | Executado: gg por @lua_fps
2026-06-15 20:34:16,948 | INFO    | src.tiktok_listener | Presente executavel: mishka bear de @ana.gamer
2026-06-15 20:34:16,949 | INFO    | src.command_queue | Enfileirado: mishka bear por @ana.gamer (fila=1)
2026-06-15 20:34:16,952 | INFO    | src.command_queue | Executado: mishka bear por @ana.gamer
2026-06-15 20:34:22,172 | INFO    | src.command_queue | Enfileirado: !cura por @joao_zoeira (fila=1)
2026-06-15 20:34:22,324 | INFO    | src.command_queue | Executado: !cura por @joao_zoeira
2026-06-15 20:34:24,698 | INFO    | src.tiktok_listener | Novo seguidor @lua_fps -> fogo
2026-06-15 20:34:24,698 | INFO    | src.command_queue | Enfileirado: __follow__ por @lua_fps (fila=1)
2026-06-15 20:34:24,702 | INFO    | src.command_queue | Executado: __follow__ por @lua_fps
2026-06-15 20:34:26,387 | INFO    | src.tiktok_listener | Novo seguidor @pedrocaos -> fogo
2026-06-15 20:34:26,387 | INFO    | src.command_queue | Enfileirado: __follow__ por @pedrocaos (fila=1)
2026-06-15 20:34:26,391 | INFO    | src.command_queue | Executado: __follow__ por @pedrocaos
2026-06-15 20:34:29,472 | INFO    | src.tiktok_listener | Meta de likes batida por @ana.gamer -> zumbi
2026-06-15 20:34:29,472 | INFO    | src.command_queue | Enfileirado: __likes__ por @ana.gamer (fila=1)
2026-06-15 20:34:29,477 | INFO    | src.command_queue | Executado: __likes__ por @ana.gamer
2026-06-15 20:34:32,293 | INFO    | src.command_queue | Enfileirado: !barril por @lua_fps (fila=1)
2026-06-15 20:34:32,445 | INFO    | src.command_queue | Executado: !barril por @lua_fps
2026-06-15 20:34:37,020 | INFO    | src.cooldown | Descartado por cooldown global: !barril (user=@lua_fps)
2026-06-15 20:34:40,275 | INFO    | src.tiktok_listener | Simulacao rodando (tick 60)
2026-06-15 20:34:45,760 | INFO    | src.command_queue | Enfileirado: !barril por @ana.gamer (fila=1)
2026-06-15 20:34:45,913 | INFO    | src.command_queue | Executado: !barril por @ana.gamer
2026-06-15 20:34:48,287 | INFO    | src.cooldown | Descartado por cooldown de usuario: !cura (user=@joao_zoeira)
2026-06-15 20:34:51,851 | INFO    | src.cooldown | Descartado por cooldown global: !barril (user=@lua_fps)
2026-06-15 20:34:53,555 | INFO    | src.command_queue | Enfileirado: !formiga por @pedrocaos (fila=1)
2026-06-15 20:34:53,707 | INFO    | src.command_queue | Executado: !formiga por @pedrocaos
2026-06-15 20:34:55,260 | INFO    | src.cooldown | Descartado por cooldown de usuario: !barril (user=@lua_fps)
2026-06-15 20:35:00,430 | INFO    | src.command_queue | Enfileirado: !drop por @joao_zoeira (fila=1)
2026-06-15 20:35:00,431 | WARNING | src.command_queue | Jogo fora de foco; descartando !drop
2026-06-15 20:35:03,896 | INFO    | src.tiktok_listener | Meta de likes batida por @joao_zoeira -> zumbi
2026-06-15 20:35:03,896 | INFO    | src.command_queue | Enfileirado: __likes__ por @joao_zoeira (fila=1)
2026-06-15 20:35:03,899 | INFO    | src.command_queue | Executado: __likes__ por @joao_zoeira
2026-06-15 20:35:05,722 | INFO    | src.cooldown | Descartado por cooldown global: !formiga (user=@joao_zoeira)
2026-06-15 20:35:08,755 | INFO    | src.command_queue | Enfileirado: !formiga por @joao_zoeira (fila=1)
2026-06-15 20:35:08,756 | WARNING | src.command_queue | Jogo fora de foco; descartando !formiga
2026-06-15 20:35:11,805 | INFO    | src.tiktok_listener | Presente executavel: tiny diny de @pedrocaos
2026-06-15 20:35:11,806 | INFO    | src.command_queue | Enfileirado: tiny diny por @pedrocaos (fila=1)
2026-06-15 20:35:11,809 | INFO    | src.command_queue | Executado: tiny diny por @pedrocaos
2026-06-15 20:35:14,094 | INFO    | src.tiktok_listener | Novo seguidor @ana.gamer -> fogo
2026-06-15 20:35:14,094 | INFO    | src.command_queue | Enfileirado: __follow__ por @ana.gamer (fila=1)
2026-06-15 20:35:14,098 | INFO    | src.command_queue | Executado: __follow__ por @ana.gamer
2026-06-15 20:35:15,766 | INFO    | src.command_queue | Enfileirado: !drop por @pedrocaos (fila=1)
2026-06-15 20:35:15,767 | WARNING | src.command_queue | Jogo fora de foco; descartando !drop
2026-06-15 20:35:23,427 | INFO    | src.tiktok_listener | Novo seguidor @ana.gamer -> fogo
2026-06-15 20:35:23,428 | INFO    | src.command_queue | Enfileirado: __follow__ por @ana.gamer (fila=1)
2026-06-15 20:35:23,432 | INFO    | src.command_queue | Executado: __follow__ por @ana.gamer
2026-06-15 20:35:25,161 | INFO    | src.cooldown | Descartado por cooldown global: !drop (user=@joao_zoeira)
2026-06-15 20:35:32,162 | INFO    | src.tiktok_listener | Presente executavel: tiktok de @ana.gamer
2026-06-15 20:35:32,162 | INFO    | src.command_queue | Enfileirado: tiktok por @ana.gamer (fila=1)
2026-06-15 20:35:32,166 | INFO    | src.command_queue | Executado: tiktok por @ana.gamer
2026-06-15 20:35:35,510 | INFO    | src.tiktok_listener | Simulacao rodando (tick 80)
2026-06-15 20:35:39,384 | INFO    | src.command_queue | Enfileirado: !formiga por @ana.gamer (fila=1)
2026-06-15 20:35:39,537 | INFO    | src.command_queue | Executado: !formiga por @ana.gamer
2026-06-15 20:35:45,472 | INFO    | src.tiktok_listener | Novo seguidor @lua_fps -> fogo
2026-06-15 20:35:45,472 | INFO    | src.command_queue | Enfileirado: __follow__ por @lua_fps (fila=1)
2026-06-15 20:35:45,476 | INFO    | src.command_queue | Executado: __follow__ por @lua_fps
2026-06-15 20:35:47,020 | INFO    | src.command_queue | Enfileirado: !barril por @pedrocaos (fila=1)
2026-06-15 20:35:47,021 | WARNING | src.command_queue | Jogo fora de foco; descartando !barril
2026-06-15 20:35:51,814 | INFO    | src.tiktok_listener | Novo seguidor @pedrocaos -> fogo
2026-06-15 20:35:51,814 | INFO    | src.command_queue | Enfileirado: __follow__ por @pedrocaos (fila=1)
2026-06-15 20:35:51,818 | INFO    | src.command_queue | Executado: __follow__ por @pedrocaos
2026-06-15 20:35:58,419 | INFO    | src.tiktok_listener | Novo seguidor @lua_fps -> fogo
2026-06-15 20:35:58,420 | INFO    | src.command_queue | Enfileirado: __follow__ por @lua_fps (fila=1)
2026-06-15 20:35:58,423 | INFO    | src.command_queue | Executado: __follow__ por @lua_fps
2026-06-15 20:36:02,643 | INFO    | src.cooldown | Descartado por cooldown de usuario: !barril (user=@pedrocaos)
2026-06-15 20:36:05,751 | INFO    | src.tiktok_listener | Presente executavel: gg de @pedrocaos
2026-06-15 20:36:05,751 | INFO    | src.command_queue | Enfileirado: gg por @pedrocaos (fila=1)
2026-06-15 20:36:05,755 | INFO    | src.command_queue | Executado: gg por @pedrocaos
2026-06-15 20:36:09,452 | INFO    | src.tiktok_listener | Presente executavel: tiktok de @lua_fps
2026-06-15 20:36:09,452 | INFO    | src.command_queue | Enfileirado: tiktok por @lua_fps (fila=1)
2026-06-15 20:36:09,456 | INFO    | src.command_queue | Executado: tiktok por @lua_fps
2026-06-15 20:36:12,625 | INFO    | src.tiktok_listener | Novo seguidor @joao_zoeira -> fogo
2026-06-15 20:36:12,625 | INFO    | src.command_queue | Enfileirado: __follow__ por @joao_zoeira (fila=1)
2026-06-15 20:36:12,629 | INFO    | src.command_queue | Executado: __follow__ por @joao_zoeira
2026-06-15 20:36:17,532 | INFO    | src.command_queue | Enfileirado: !cura por @ana.gamer (fila=1)
2026-06-15 20:36:17,532 | WARNING | src.command_queue | Jogo fora de foco; descartando !cura
2026-06-15 20:36:19,560 | INFO    | src.command_queue | Enfileirado: !barril por @ana.gamer (fila=1)
2026-06-15 20:36:19,561 | WARNING | src.command_queue | Jogo fora de foco; descartando !barril
2026-06-15 20:36:22,172 | INFO    | src.tiktok_listener | Novo seguidor @joao_zoeira -> fogo
2026-06-15 20:36:22,172 | INFO    | src.command_queue | Enfileirado: __follow__ por @joao_zoeira (fila=1)
2026-06-15 20:36:22,178 | INFO    | src.command_queue | Executado: __follow__ por @joao_zoeira
2026-06-15 20:36:28,142 | INFO    | src.tiktok_listener | Presente executavel: mishka bear de @pedrocaos
2026-06-15 20:36:28,142 | INFO    | src.command_queue | Enfileirado: mishka bear por @pedrocaos (fila=1)
2026-06-15 20:36:28,142 | INFO    | src.tiktok_listener | Simulacao rodando (tick 100)
2026-06-15 20:36:28,146 | INFO    | src.command_queue | Executado: mishka bear por @pedrocaos
2026-06-15 20:36:29,675 | INFO    | src.tiktok_listener | Meta de likes batida por @pedrocaos -> zumbi
2026-06-15 20:36:29,675 | INFO    | src.command_queue | Enfileirado: __likes__ por @pedrocaos (fila=1)
2026-06-15 20:36:29,679 | INFO    | src.command_queue | Executado: __likes__ por @pedrocaos
2026-06-15 20:36:38,497 | INFO    | src.tiktok_listener | Novo seguidor @lua_fps -> fogo
2026-06-15 20:36:38,498 | INFO    | src.command_queue | Enfileirado: __follow__ por @lua_fps (fila=1)
2026-06-15 20:36:38,501 | INFO    | src.command_queue | Executado: __follow__ por @lua_fps
2026-06-15 20:36:42,122 | INFO    | src.command_queue | Enfileirado: !formiga por @pedrocaos (fila=1)
2026-06-15 20:36:42,123 | WARNING | src.command_queue | Jogo fora de foco; descartando !formiga
2026-06-15 20:36:45,266 | INFO    | src.tiktok_listener | Novo seguidor @pedrocaos -> fogo
2026-06-15 20:36:45,266 | INFO    | src.command_queue | Enfileirado: __follow__ por @pedrocaos (fila=1)
2026-06-15 20:36:45,270 | INFO    | src.command_queue | Executado: __follow__ por @pedrocaos
2026-06-15 20:36:51,780 | INFO    | src.command_queue | Enfileirado: !barril por @lua_fps (fila=1)
2026-06-15 20:36:51,781 | WARNING | src.command_queue | Jogo fora de foco; descartando !barril
2026-06-15 20:36:57,050 | INFO    | src.tiktok_listener | Novo seguidor @ana.gamer -> fogo
2026-06-15 20:36:57,050 | INFO    | src.command_queue | Enfileirado: __follow__ por @ana.gamer (fila=1)
2026-06-15 20:36:57,054 | INFO    | src.command_queue | Executado: __follow__ por @ana.gamer
2026-06-15 20:37:06,721 | INFO    | src.tiktok_listener | Presente executavel: tiktok de @pedrocaos
2026-06-15 20:37:06,721 | INFO    | src.command_queue | Enfileirado: tiktok por @pedrocaos (fila=1)
2026-06-15 20:37:06,725 | INFO    | src.command_queue | Executado: tiktok por @pedrocaos
2026-06-15 20:37:10,519 | INFO    | src.tiktok_listener | Presente executavel: mishka bear de @pedrocaos
2026-06-15 20:37:10,519 | INFO    | src.command_queue | Enfileirado: mishka bear por @pedrocaos (fila=1)
2026-06-15 20:37:10,522 | INFO    | src.command_queue | Executado: mishka bear por @pedrocaos
2026-06-15 20:37:17,385 | INFO    | src.tiktok_listener | Presente executavel: tiny diny de @joao_zoeira
2026-06-15 20:37:17,386 | INFO    | src.command_queue | Enfileirado: tiny diny por @joao_zoeira (fila=1)
2026-06-15 20:37:17,390 | INFO    | src.command_queue | Executado: tiny diny por @joao_zoeira
2026-06-15 20:37:19,013 | INFO    | src.tiktok_listener | Presente executavel: mishka bear de @pedrocaos
2026-06-15 20:37:19,013 | INFO    | src.command_queue | Enfileirado: mishka bear por @pedrocaos (fila=1)
2026-06-15 20:37:19,017 | INFO    | src.command_queue | Executado: mishka bear por @pedrocaos
2026-06-15 20:37:22,655 | INFO    | src.tiktok_listener | Presente executavel: mishka bear de @ana.gamer
2026-06-15 20:37:22,656 | INFO    | src.command_queue | Enfileirado: mishka bear por @ana.gamer (fila=1)
2026-06-15 20:37:22,659 | INFO    | src.command_queue | Executado: mishka bear por @ana.gamer
2026-06-15 20:37:26,468 | INFO    | src.tiktok_listener | Simulacao rodando (tick 120)
2026-06-15 20:37:28,886 | INFO    | src.tiktok_listener | Presente executavel: rose de @lua_fps
2026-06-15 20:37:28,886 | INFO    | src.command_queue | Enfileirado: rose por @lua_fps (fila=1)
2026-06-15 20:37:29,039 | INFO    | src.command_queue | Executado: rose por @lua_fps
2026-06-15 20:37:30,514 | INFO    | src.command_queue | Enfileirado: !barril por @lua_fps (fila=1)
2026-06-15 20:37:30,697 | INFO    | src.command_queue | Executado: !barril por @lua_fps
2026-06-15 20:37:32,498 | INFO    | src.cooldown | Descartado por cooldown global: !barril (user=@lua_fps)
