2026-06-22 20:34:14,813 | INFO    | __main__ | Comandos: 
2026-06-22 20:34:14,813 | INFO    | __main__ | Presentes executaveis: gamepad, gg, ice cream cone, pop, rose, tiktok, tiny diny
2026-06-22 20:34:14,813 | INFO    | __main__ | Acao de meta de likes: configurada (Python)
2026-06-22 20:34:14,813 | INFO    | __main__ | Acao de seguir: nenhuma (Tikfinity)
2026-06-22 20:34:14,813 | INFO    | __main__ | Acao de entrar na live: nenhuma
2026-06-22 20:34:14,813 | INFO    | __main__ | Meta NUCLEAR: nenhuma
2026-06-22 20:34:14,814 | INFO    | __main__ | Ranking ATIVO em MODO TESTE (banco separado: live_caos_teste.db). O banco real (live_caos.db) nao sera tocado.
2026-06-22 20:34:14,826 | INFO    | src.key_executor | Backend de teclado: pydirectinput
2026-06-22 20:34:14,827 | INFO    | src.file_bridge | Ponte por arquivo: C:\Users\davi\AppData\Roaming\Hytale\UserData\Saves\novo v2 (release)\mods\br.livecaos_livecaos\livecaos\fila.txt
2026-06-22 20:34:15,062 | INFO    | websockets.server | server listening on [::1]:8765
2026-06-22 20:34:15,062 | INFO    | websockets.server | server listening on 127.0.0.1:8765
2026-06-22 20:34:15,062 | INFO    | src.panel_server | Painel WebSocket ouvindo em ws://localhost:8765
2026-06-22 20:34:15,063 | INFO    | src.command_queue | Worker da fila iniciado
2026-06-22 20:34:15,063 | INFO    | src.tiktok_listener | MODO SIMULACAO ativo — gerando eventos falsos
2026-06-22 20:34:15,063 | INFO    | src.tiktok_listener | Simulacao vai sortear presentes: Rose, ice cream cone, gg, gamepad, pop, tiktok, tiny diny
2026-06-22 20:34:15,176 | INFO    | websockets.server | connection open
2026-06-22 20:34:15,176 | INFO    | src.panel_server | Overlay conectado (1 ativos)
2026-06-22 20:34:15,185 | INFO    | websockets.server | connection open
2026-06-22 20:34:15,186 | INFO    | src.panel_server | Overlay conectado (2 ativos)
2026-06-22 20:34:16,920 | INFO    | websockets.server | connection open
2026-06-22 20:34:16,920 | INFO    | src.panel_server | Overlay conectado (3 ativos)
2026-06-22 20:34:18,780 | INFO    | src.tiktok_listener | Simulacao rodando (tick 0)
