2026-06-26 22:16:42,903 | INFO    | __main__ | Comandos: !mob1, !mob2, !mob3
2026-06-26 22:16:42,904 | INFO    | __main__ | Presentes executaveis: gamepad, gg, ice cream cone, pop, rose, tiktok, tiny diny
2026-06-26 22:16:42,904 | INFO    | __main__ | Acao de meta de likes: configurada (Python)
2026-06-26 22:16:42,904 | INFO    | __main__ | Acao de seguir: nenhuma (Tikfinity)
2026-06-26 22:16:42,904 | INFO    | __main__ | Acao de entrar na live: nenhuma
2026-06-26 22:16:42,904 | INFO    | __main__ | Meta NUCLEAR: nenhuma
2026-06-26 22:16:42,904 | INFO    | __main__ | Ranking ATIVO (banco: live_caos.db)
2026-06-26 22:16:42,928 | INFO    | src.key_executor | Backend de teclado: pydirectinput
2026-06-26 22:16:42,929 | INFO    | src.file_bridge | Ponte por arquivo: C:\Users\davi\AppData\Roaming\Hytale\UserData\Saves\novo v2 (release)\mods\br.livecaos_livecaos\livecaos\fila.txt
2026-06-26 22:16:43,152 | INFO    | websockets.server | server listening on 127.0.0.1:8765
2026-06-26 22:16:43,152 | INFO    | websockets.server | server listening on [::1]:8765
2026-06-26 22:16:43,152 | INFO    | src.panel_server | Painel WebSocket ouvindo em ws://localhost:8765
2026-06-26 22:16:43,152 | INFO    | src.command_queue | Worker da fila iniciado
2026-06-26 22:16:44,677 | INFO    | src.tiktok_listener | Chave da API EulerStream configurada.
2026-06-26 22:16:45,581 | INFO    | src.tiktok_listener | Conectando a @davillops...
2026-06-26 22:16:45,602 | INFO    | websockets.server | connection open
2026-06-26 22:16:45,602 | INFO    | src.panel_server | Overlay conectado (1 ativos)
2026-06-26 22:16:45,602 | INFO    | websockets.server | connection open
2026-06-26 22:16:45,602 | INFO    | src.panel_server | Overlay conectado (2 ativos)
2026-06-26 22:16:47,053 | INFO    | httpx | HTTP Request: GET https://www.tiktok.com/@davillops/live? "HTTP/1.1 200 OK"
2026-06-26 22:16:47,685 | ERROR   | src.tiktok_listener | Conexao com o TikTok caiu; nova tentativa em 15s. (erro 500 do EulerStream e instabilidade do servico, costuma resolver sozinho)
2026-06-26 22:16:48,591 | INFO    | websockets.server | connection open
2026-06-26 22:16:48,591 | INFO    | src.panel_server | Overlay conectado (3 ativos)
2026-06-26 22:16:50,362 | INFO    | websockets.server | connection open
2026-06-26 22:16:50,363 | INFO    | src.panel_server | Overlay conectado (4 ativos)
2026-06-26 22:17:02,913 | INFO    | src.tiktok_listener | Conectando a @davillops...
2026-06-26 22:17:03,653 | INFO    | httpx | HTTP Request: GET https://www.tiktok.com/@davillops/live? "HTTP/1.1 200 OK"
2026-06-26 22:17:03,696 | ERROR   | src.tiktok_listener | Conexao com o TikTok caiu; nova tentativa em 30s. (erro 500 do EulerStream e instabilidade do servico, costuma resolver sozinho)
2026-06-26 22:17:33,900 | INFO    | src.tiktok_listener | Conectando a @davillops...
2026-06-26 22:17:35,405 | INFO    | httpx | HTTP Request: GET https://www.tiktok.com/@davillops/live? "HTTP/1.1 200 OK"
2026-06-26 22:17:36,051 | ERROR   | src.tiktok_listener | Conexao com o TikTok caiu; nova tentativa em 60s. (erro 500 do EulerStream e instabilidade do servico, costuma resolver sozinho)
2026-06-26 22:18:36,262 | INFO    | src.tiktok_listener | Conectando a @davillops...
2026-06-26 22:18:36,964 | INFO    | httpx | HTTP Request: GET https://www.tiktok.com/@davillops/live? "HTTP/1.1 200 OK"
2026-06-26 22:18:37,720 | INFO    | httpx | HTTP Request: GET https://webcast.tiktok.com/webcast/room/check_alive/?aid=1988&app_language=en&app_name=tiktok_web&browser_language=en-AU&browser_name=Mozilla&browser_online=true&browser_platform=Win32&browser_version=5.0%20%28Windows%20NT%2010.0%3B%20Win64%3B%20x64%3B%20rv%3A130.0%29%20Gecko%2F20100101%20Firefox%2F130.0&cookie_enabled=true&device_platform=web_pc&focus_state=true&from_page=&history_len=12&is_fullscreen=false&is_page_visible=true&screen_height=1080&screen_width=1920&tz_name=Australia/Sydney&channel=tiktok_web&data_collection_enabled=true&os=windows&priority_region=AU&region=AU&user_is_login=false&webcast_language=en&msToken=&referer=https://www.tiktok.com/@davillops/live&root_referer=https://www.tiktok.com/@davillops/live&device_id=84485489333756304972&room_id=7655878218319088402&room_ids=7655878218319088402 "HTTP/1.1 200 OK"
2026-06-26 22:18:39,193 | INFO    | httpx | HTTP Request: GET https://tiktok.eulerstream.com/webcast/fetch/?client=ttlive-python&room_id=7655878218319088402&user_agent=Mozilla%2F5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%3B+rv%3A130.0%29+Gecko%2F20100101+Firefox%2F130.0&platform=web&client_enter=true "HTTP/1.1 200 OK"
2026-06-26 22:18:40,152 | INFO    | src.tiktok_listener | Conectado a live de @davillops
2026-06-26 22:18:48,607 | INFO    | src.tiktok_listener | GiftEvent recebido: nome='Rose' de Eca TEXTURA (diamantes=1, streakable=True, streaking=True)
2026-06-26 22:18:51,940 | INFO    | src.tiktok_listener | GiftEvent recebido: nome='Rose' de Eca TEXTURA (diamantes=1, streakable=True, streaking=False)
2026-06-26 22:18:51,953 | INFO    | src.tiktok_listener | Presente executavel: Rose de Eca TEXTURA
2026-06-26 22:18:51,954 | INFO    | src.command_queue | Enfileirado: Rose por Eca TEXTURA (fila=1)
2026-06-26 22:18:51,961 | INFO    | src.command_queue | Executado: Rose por Eca TEXTURA
2026-06-26 22:19:06,813 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:19:06,813 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:19:08,366 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:19:09,218 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:19:10,065 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:19:12,472 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:19:12,472 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:19:13,317 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:19:14,868 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:19:15,669 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:19:18,016 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:19:19,674 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:19:19,674 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:19:20,479 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:19:49,496 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:19:51,195 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:19:52,047 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:19:52,896 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:19:54,554 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:19:56,151 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:20:09,356 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:20:11,063 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:20:11,931 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:20:11,935 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:20:14,448 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:20:16,125 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:20:16,974 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:21:24,305 | INFO    | src.panel_server | Overlay desconectado (3 ativos)
2026-06-26 22:21:24,305 | INFO    | src.panel_server | Overlay desconectado (2 ativos)
2026-06-26 22:21:24,305 | INFO    | src.panel_server | Overlay desconectado (1 ativos)
2026-06-26 22:21:24,305 | INFO    | src.panel_server | Overlay desconectado (0 ativos)
2026-06-26 22:21:24,560 | INFO    | __main__ | Encerrado pelo usuario (Ctrl+C)
2026-06-26 22:21:27,369 | INFO    | __main__ | Comandos: !mob1, !mob2, !mob3
2026-06-26 22:21:27,369 | INFO    | __main__ | Presentes executaveis: gamepad, gg, ice cream cone, pop, rose, tiktok, tiny diny
2026-06-26 22:21:27,369 | INFO    | __main__ | Acao de meta de likes: configurada (Python)
2026-06-26 22:21:27,369 | INFO    | __main__ | Acao de seguir: nenhuma (Tikfinity)
2026-06-26 22:21:27,369 | INFO    | __main__ | Acao de entrar na live: nenhuma
2026-06-26 22:21:27,369 | INFO    | __main__ | Meta NUCLEAR: nenhuma
2026-06-26 22:21:27,370 | INFO    | __main__ | Ranking ATIVO (banco: live_caos.db)
2026-06-26 22:21:27,372 | INFO    | src.key_executor | Backend de teclado: pydirectinput
2026-06-26 22:21:27,372 | INFO    | src.file_bridge | Ponte por arquivo: C:\Users\davi\AppData\Roaming\Hytale\UserData\Saves\novo v2 (release)\mods\br.livecaos_livecaos\livecaos\fila.txt
2026-06-26 22:21:27,443 | INFO    | websockets.server | server listening on [::1]:8765
2026-06-26 22:21:27,443 | INFO    | websockets.server | server listening on 127.0.0.1:8765
2026-06-26 22:21:27,444 | INFO    | src.panel_server | Painel WebSocket ouvindo em ws://localhost:8765
2026-06-26 22:21:27,444 | INFO    | src.command_queue | Worker da fila iniciado
2026-06-26 22:21:28,104 | INFO    | src.tiktok_listener | Chave da API EulerStream configurada.
2026-06-26 22:21:28,403 | INFO    | src.tiktok_listener | Conectando a @davillops...
2026-06-26 22:21:29,607 | INFO    | websockets.server | connection open
2026-06-26 22:21:29,607 | INFO    | src.panel_server | Overlay conectado (1 ativos)
2026-06-26 22:21:29,625 | INFO    | websockets.server | connection open
2026-06-26 22:21:29,626 | INFO    | src.panel_server | Overlay conectado (2 ativos)
2026-06-26 22:21:29,642 | INFO    | websockets.server | connection open
2026-06-26 22:21:29,642 | INFO    | src.panel_server | Overlay conectado (3 ativos)
